 (cabinet)
" Churchill, W (cabinet)"
"Alessandri Palma, Arturo (briefing)"
"Alessandri Palma, Arturo (frus)"
"Alessandri Rodriguez, Jorge (briefing)"
"Alessandri Rodriguez, Jorge (clinton)"
"Alessandri Rodriguez, Jorge (frus)"
"Alessandri Valdez, Gustavo (briefing)"
"Alessandri Valdez, Gustavo (frus)"
"Alessandri, Silvia (briefing)"
"Alessandri, Silvia (frus)"
"Alessandrini, Adolfo (briefing)"
"Alessandrini, Adolfo (frus)"
"Alessandrini, Adolpho (clinton)"
Alexander (Aleksandar) I (briefing)
Alexander (Aleksandar) I (frus)
Alexander (cabinet)
Alexander II (briefing)
Alexander II (frus)
"Alexander of Tunis, Harold R.L.G.; Alexander of Tunis, Harold, R.L.G.; Alexander of Tunis, Lord, (Harold R. L. G. Alexander) (clinton)"
"Alexander, A (cabinet)"
"Alexander, Albert V. (briefing)"
"Alexander, Albert V. (cabinet)"
"Alexander, Albert V. (frus)"
"Alexander, Archibald S. (briefing)"
"Alexander, Archibald S. (frus)"
"Alexander, Boris (briefing)"
"Alexander, Boris (frus)"
"Alexander, Clifford L., Jr. (briefing)"
"Alexander, Clifford L., Jr. (clinton)"
"Alexander, Clifford L., Jr. (frus)"
"Alexander, Deborah (clinton)"
"Alexander, Diane (clinton)"
"Alexander, Donald Herman (frus)"
"Alexander, Eben (briefing)"
"Alexander, Eben (frus)"
"Alexander, H (cabinet)"
"Alexander, Harold R.L.G. (briefing)"
"Alexander, Harold R.L.G. (frus)"
"Alexander, Leslie M. (briefing)"
"Alexander, Leslie M. (frus)"
"Alexander, Margo (clinton)"
"Alexander, Robert C. (cpdoc)"
"Alexander, Robert C. (frus)"
"Alexander, William V., Jr. (briefing)"
"Alexander, William V., Jr. (clinton)"
"Alexander, William V., Jr. (frus)"
"Alexanderq, Ralph (clinton)"
"Alexandra, Princesa (cpdoc)"
"Alexandrakis, Menelaos (briefing)"
"Alexandrakis, Menelaos (frus)"
"Alexandrakis, Menelaos; Alexandrakis, Menelas D. (clinton)"
"Alexandre, A (cabinet)"
"Alexandre, Carl (clinton)"
Alexei Nikolaevich (briefing)
Alexei Nikolaevich (frus)
"Alexis, Bob (clinton)"
"Alexis, Marline (clinton)"
"Alfonsin, Raul Ricardo (briefing)"
"Alfonsin, Raul Ricardo (frus)"
Alfonso XIII (briefing)
Alfonso XIII (cpdoc)
Alfonso XIII (frus)
"AlfonsÃ­n, RaÃºl (briefing)"
"Alfonsín, Raúl (frus)"
"Alford, Edward (clinton)"
"Alford, Edward M. (frus)"
"Alfredo Bernardes, Carlos (cpdoc)"
"Alfredo Martínez de Hoz, José (cpdoc)"
"Algard, Ole (briefing)"
"Algard, Ole (clinton)"
"Algard, Ole (cpdoc)"
"Algard, Ole (frus)"
"Alger, Chadwick (frus)"
"Alger, Frederick M., Jr. (clinton)"
"Alger, Frederick Moulton, Jr. (briefing)"
"Alger, Frederick Moulton, Jr. (frus)"
"Ali Allana, Ghulam (cpdoc)"
"Ali Kuli Khan, Nabil-ed-Dovleh (frus)"
"Ali Mohammad Khan; Ali, Mohammad,; Ali, Mohammed; Ali, Syed Amjad (clinton)"
Ali Sastroamidjojo (briefing)
Ali Sastroamidjojo (clinton)
Ali Sastroamidjojo (frus)
"Ali, Ahmed Ismail (briefing)"
"Ali, Ahmed Ismail (frus)"
"Ali, Amjad (clinton)"
"Ali, Amjad (cpdoc)"
"Ali, Amjad (frus)"
"Ali, Amjad; Ali, Hossain; Ali, M. Hossain (clinton)"
"Ali, Anwar (clinton)"
"Ali, Anwar (frus)"
"Ali, Chaudhri Mohamad (briefing)"
"Ali, Chaudhri Mohamad (clinton)"
"Ali, Chaudhri Mohamad (frus)"
"Ali, General Ahmed Ismail (clinton)"
"Ali, Iftikar (frus)"
"Ali, M. Hossain (briefing)"
"Ali, M. Hossain (frus)"
"Ali, Mahmud (Mahood) (briefing)"
"Ali, Mahmud (Mahood) (frus)"
"Ali, Mohamed (cpdoc)"
"Ali, Mohammed (briefing)"
"Ali, Mohammed (frus)"
"Ali, Muhammad (briefing)"
"Ali, Muhammad (frus)"
"Ali, Salim Rubayyi (briefing)"
"Ali, Salim Rubayyi (frus)"
"Ali, Syed Amjad (briefing)"
"Ali, Syed Amjad (frus)"
"Alican, Ekren (clinton)"
"Alican, Ekren (frus)"
"Alim, Abdallah Abdal (frus)"
"Alireza, Abdallah (clinton)"
"Alireza, Abdallah (frus)"
"Alireza, Ali Abdallah (frus)"
"Alireza, Ali Abdallah; Alireza, H.E. Ali (clinton)"
"Alireza, Mohammed (briefing)"
"Alireza, Mohammed (frus)"
"Alireza, Sheikh Mohammed (clinton)"
"Aliyev, Geidar (briefing)"
"Aliyev, Geidar (frus)"
"Aliyev, Heydar (briefing)"
"Aliyev, Heydar (frus)"
"Aliyev, Ilham (briefing)"
"Aliyev, Ilham (frus)"
"Aljunaibi, Mohamed (clinton)"
"Alkhimov, Vladimir S. (briefing)"
"Alkhimov, Vladimir S. (frus)"
"Alkhimov, Vladimir; Alkhimov, Vladimir S. (clinton)"
"Alkmin, Jose Maria (clinton)"
"Alkmin, JosÃÂ© MarÃÂ­a (briefing)"
"Alkmin, José María (frus)"
"Allaf, Mowaffak (briefing)"
"Allaf, Mowaffak (clinton)"
"Allaf, Mowaffak (frus)"
"Allan, R (cabinet)"
"Allan, Virginia R. (briefing)"
"Allan, Virginia R. (clinton)"
"Allan, Virginia R. (frus)"
"Allan, Willard (frus)"
"Allana, Ghulam Ali (briefing)"
"Allana, Ghulam Ali (frus)"
"Allardt, Helmut (briefing)"
"Allardt, Helmut (clinton)"
"Allardt, Helmut (frus)"
"Allawi, Ayad (briefing)"
"Allawi, Ayad (frus)"
"Allbritton, Joseph (clinton)"
"Allbritton, Joseph (kissinger)"
"Allegra, Theodore (clinton)"
"Allegrone, Kathleen (clinton)"
"Alleman, Katharine (clinton)"
"Allen, Arthur B. (clinton)"
"Allen, Arthur B. (frus)"
"Allen, Bernadette Mary (briefing)"
"Allen, Bernadette Mary (frus)"
"Allen, Craig B. (briefing)"
"Allen, Craig B. (frus)"
"Allen, Douglas A.V. (frus)"
"Allen, Edgar P. (briefing)"
"Allen, Edgar P. (frus)"
"Allen, Edgar P.; Allen, Francis O. (clinton)"
"Allen, Elizabeth (clinton)"
"Allen, Francis O. (frus)"
"Allen, George E. (frus)"
"Allen, George Venable (briefing)"
"Allen, George Venable (frus)"
"Allen, George e. (cpdoc)"
"Allen, Heman (frus)"
"Allen, Horace Newton (briefing)"
"Allen, Horace Newton (frus)"
"Allen, James B. (briefing)"
"Allen, James B. (frus)"
"Allen, James; Allen, James B. (clinton)"
"Allen, James; Allen, James B. (kissinger)"
"Allen, John (clinton)"
"Allen, Katherine (clinton)"
"Allen, Lew, Jr. (briefing)"
"Allen, Lew, Jr. (frus)"
"Allen, Lew, Jr.; Allen, Lucius, Jr. (clinton)"
"Allen, Mark E. (frus)"
"Allen, Mark E.; Allen, Ward P. (clinton)"
"Allen, Mike (clinton)"
"Allen, R (cabinet)"
"Allen, Raymond B. (briefing)"
"Allen, Raymond B. (clinton)"
"Allen, Raymond B. (frus)"
"Allen, Richard (clinton)"
"Allen, Richard F. (frus)"
"Allen, Richard V. (briefing)"
"Allen, Richard V. (frus)"
"Allen, Richard; Allen, Richard V. (clinton)"
"Allen, Roger (briefing)"
"Allen, Roger (frus)"
"Allen, Stanley V. (frus)"
"Allen, Ward P. (frus)"
"Allen, William D.; Allen, William Denis (clinton)"
"Allen, William Denis (frus)"
"Allen; Allen, George; Allen, George B.; Allen, George V. (clinton)"
"Allen; Allen, Sir Roger (clinton)"
Allenby (cabinet)
"Allenby, E (cabinet)"
"Allende Gossens, Salvador (briefing)"
"Allende Gossens, Salvador (frus)"
"Allende Gossens, Salvador; Allende, Salvador (clinton)"
"Allende, Salvador (cpdoc)"
"Allende-Gossens, Salvador (clinton)"
"Alliluyeva, Svetlana (briefing)"
"Alliluyeva, Svetlana (clinton)"
"Alliluyeva, Svetlana (frus)"
"Allin, Lyndon K. (“Mort”) (frus)"
"Alling, Paul Humiston (briefing)"
"Alling, Paul Humiston (frus)"
"Allison, John M.; Allison, John N. (clinton)"
"Allison, John Moore (briefing)"
"Allison, John Moore (frus)"
"Allison, Robert (clinton)"
"Allison, Royal B. (clinton)"
"Allison, Royal B. (frus)"
"Allon, Yigal (briefing)"
"Allon, Yigal (clinton)"
"Allon, Yigal (cpdoc)"
"Allon, Yigal (frus)"
"Allon, Yigal (kissinger)"
"Allott, Gordon (briefing)"
"Allott, Gordon (clinton)"
"Allott, Gordon (frus)"
"Alm, Alvin (briefing)"
"Alm, Alvin (clinton)"
"Alm, Alvin (frus)"
"Almaguer, Frank (briefing)"
"Almaguer, Frank (frus)"
"Almeyda Medina, Clodomiro (briefing)"
"Almeyda Medina, Clodomiro (frus)"
"Almir Madeira, Marcos (cpdoc)"
"Almirante, Giorgio (briefing)"
"Almirante, Giorgio (clinton)"
"Almirante, Giorgio (frus)"
"Alo, Olagid (cpdoc)"
"Alpar, Nahit (frus)"
"Alphand, Herve (clinton)"
"Alphand, HervÃ© (briefing)"
"Alphand, Hervé (frus)"
"Alport, C (cabinet)"
"Alsogaray, Alvaro C. (briefing)"
"Alsogaray, Alvaro C. (cpdoc)"
"Alsogaray, Alvaro C. (frus)"
"Alsogaray, Alvaro; Alsogaray, Alvaro C. (clinton)"
"Alsogaray, Julio R. (briefing)"
"Alsogaray, Julio R. (frus)"
"Alsogaray, Major General Julio R. (clinton)"
"Alsop, Joseph W. (briefing)"
"Alsop, Joseph W. (frus)"
"Alsop, Joseph; Alsop, Joseph W. (clinton)"
"Alsop, Joseph; Alsop, Joseph W. (kissinger)"
"Alsop, Stewart (clinton)"
"Alsop, Stewart (kissinger)"
"Alston, Philip Henry, Jr. (briefing)"
"Alston, Philip Henry, Jr. (frus)"
"Altaffer, Maurice W. (frus)"
"Altamirano Orrego, Carlos (briefing)"
"Altamirano Orrego, Carlos (frus)"
"Altenberger, Erwin (briefing)"
"Altenberger, Erwin (frus)"
"Alter, Gerald (frus)"
"Alter, Robert (clinton)"
"Altmeier, Peter (briefing)"
"Altmeier, Peter (frus)"
"Alto, Hayward (clinton)"
"Alvapillai, K. (briefing)"
"Alvapillai, K. (clinton)"
"Alvapillai, K. (frus)"
"Alvarado, Rebecca (clinton)"
"Alvarado, Victoria (clinton)"
"Alvarez, Alberto I. (briefing)"
"Alvarez, Alberto I. (frus)"
"Alvarez, Luis Monge (briefing)"
"Alvarez, Luis Monge (frus)"
"Alvarez, Raymond J. (clinton)"
"Alvarez, Raymond J. (frus)"
"Alves, Antônio (cpdoc)"
"Alves, Castro (cpdoc)"
"Alves, Francisco (cpdoc)"
"Alves, Mário (cpdoc)"
"Alves, Roberto (cpdoc)"
"Alves, Rodrigues (cpdoc)"
"Alvie, Momtaz A. (clinton)"
"Alvie, Momtaz A. (frus)"
"Alwine, Patrick (clinton)"
"AmEMB Port-au-Prince, AmEMB Port-au-Prince (clinton)"
"Amachree, Godfrey (clinton)"
"Amachree, Godfrey (frus)"
"Amadeo, Mario (briefing)"
"Amadeo, Mario (clinton)"
"Amadeo, Mario (frus)"
"Amado, Gilberto (cpdoc)"
"Amado, Gilson (cpdoc)"
"Amanrich, Gerard (clinton)"
"Amanrich, GÃ©rard (briefing)"
"Amanrich, Gérard (frus)"
"Amar, Tahar ben (clinton)"
"Amaral, Antônio (cpdoc)"
"Amato, Guiliano (briefing)"
"Amato, Guiliano (frus)"
"Amaya, Naohiro (briefing)"
"Amaya, Naohiro (clinton)"
"Amaya, Naohiro (frus)"
"Ambassador, French (cabinet)"
"Ambegoakar, K. G. (briefing)"
"Ambegoakar, K. G. (frus)"
"Ambinder, Marc (clinton)"
"Ambrose, Myles J. (briefing)"
"Ambrose, Myles J. (frus)"
"Ambrosio, Vittorio (briefing)"
"Ambrosio, Vittorio (frus)"
"Amend, Kurt (clinton)"
"Amer, Abdel Hakim (briefing)"
"Amer, Abdel Hakim (frus)"
"Amer, Field Marshal Abdel Hakim (clinton)"
"Amer, Gen. Abdel Hakim; Amer, Lieutenant General Abdul Hakim (clinton)"
"Amer, Hussein Sirry (briefing)"
"Amer, Hussein Sirry (frus)"
"Amer, Major General Hussein Sirry (clinton)"
"Amerasinghe, Hamilton Shirley (briefing)"
"Amerasinghe, Hamilton Shirley (clinton)"
"Amerasinghe, Hamilton Shirley (frus)"
"Ameri, Goli (briefing)"
"Ameri, Goli (frus)"
"Amery, Harold Julian (briefing)"
"Amery, Harold Julian (clinton)"
"Amery, Harold Julian (frus)"
"Amery, J (cabinet)"
"Amery, Julian (clinton)"
"Amery, L (cabinet)"
"Ames, Marjorie (clinton)"
"Amiama Tio, Luis (briefing)"
"Amiama Tio, Luis (clinton)"
"Amiama Tio, Luis (frus)"
"Amiaud, Camille (clinton)"
"Amin Dada, Idi; Amin, Idi; Amin, Major General Idi (clinton)"
"Amin, Abdel (briefing)"
"Amin, Abdel (frus)"
"Amin, Hafizullah (briefing)"
"Amin, Hafizullah (clinton)"
"Amin, Hafizullah (frus)"
"Amin, Idi (briefing)"
"Amin, Idi (cpdoc)"
"Amin, Idi (frus)"
"Amin, Lieutenant Colonel Abdel (clinton)"
"Amin, Moustafa (briefing)"
"Amin, Moustafa (clinton)"
"Amin, Moustafa (frus)"
"Amini, Abol Qasem (briefing)"
"Amini, Abol Qasem (frus)"
"Amini, Abol Qasem; Amini, Dr. Ali (clinton)"
"Amini, Ali (briefing)"
"Amini, Ali (clinton)"
"Amini, Ali (frus)"
"Amini-Majdi, General Mahmud (clinton)"
"Amini-Majdi, Mahmud (frus)"
"Amiri, Rina (clinton)"
"Amit, Major General Meir (clinton)"
"Amit, Meir (briefing)"
"Amit, Meir (frus)"
"Amjad Ali, Syed (cpdoc)"
"Ammar, Tahar Ben (clinton)"
"Ammar, Tahar ben (briefing)"
"Ammar, Tahar ben (frus)"
"Ammash, Salih Mahdi (briefing)"
"Ammash, Salih Mahdi (frus)"
"Ammash, Salih Mahdi; Ammash, Salih Mandi (clinton)"
"Ammoun, Fouad S. (briefing)"
"Ammoun, Fouad S. (clinton)"
"Ammoun, Fouad S. (frus)"
"Amnesty International, Amnesty International (clinton)"
"Amorim, Celso (cpdoc)"
"Amoroso Lima, Alceu (cpdoc)"
"Amory, Derick Heathcoat (briefing)"
"Amory, Derick Heathcoat (clinton)"
"Amory, Derick Heathcoat (frus)"
"Amory, Elizabeth (clinton)"
"Amory, H (cabinet)"
"Amory, Robert (clinton)"
"Amory, Robert, Jr. (briefing)"
"Amory, Robert, Jr. (frus)"
"Amory, Robert; Amory, Robert, Jr. (clinton)"
Amos (cabinet)
"Amouzegar, Jamshid (briefing)"
"Amouzegar, Jamshid (clinton)"
"Amouzegar, Jamshid (cpdoc)"
"Amouzegar, Jamshid (frus)"
"Amr, P. H. (cpdoc)"
"Amr, P. H. (frus)"
"Amrehn, Franz (briefing)"
"Amrehn, Franz (clinton)"
"Amrehn, Franz (frus)"
"Amri, General Hassan al- (clinton)"
"Amri, Hassan al- (briefing)"
"Amri, Hassan al- (frus)"
"Amselem, Lewis (clinton)"
"Amstutz, J. Bruce (briefing)"
"Amstutz, J. Bruce (frus)"
Amulree (cabinet)
An Chih-Yuan (briefing)
An Chih-Yuan (clinton)
An Chih-Yuan (frus)
"Anami, Korehita (briefing)"
"Anami, Korehita (frus)"
"Anamosa, Harold D. (frus)"
Anand Panyarachun (briefing)
Anand Panyarachun (clinton)
Anand Panyarachun (frus)
"Anania, Jay Nicholas (briefing)"
"Anania, Jay Nicholas (frus)"
"Anany, Jerome (briefing)"
"Anany, Jerome (clinton)"
"Anany, Jerome (frus)"
"Anastassiou, T.K. (clinton)"
"Anastassiou, T.K. (frus)"
"Anaya, Jorge I. (briefing)"
"Anaya, Jorge I. (frus)"
"AncÃ­zar, Roberto (briefing)"
"Ancízar, Roberto (frus)"
"Anderiman, Sureyya (briefing)"
"Anderiman, Sureyya (frus)"
"Anders, General Wladyslaw (clinton)"
"Anders, William Allison (briefing)"
"Anders, William Allison (frus)"
"Anders, Wladyslaw (briefing)"
"Anders, Wladyslaw (frus)"
"Andersen, H. Carl (briefing)"
"Andersen, H. Carl (clinton)"
"Andersen, H. Carl (frus)"
"Andersen, Hans G. (briefing)"
"Andersen, Hans G. (clinton)"
"Andersen, Hans G. (cpdoc)"
"Andersen, Hans G. (frus)"
"Andersen, Holger (frus)"
"Andersen, Knud Borge (briefing)"
"Andersen, Knud Borge (clinton)"
"Andersen, Knud Borge (frus)"
"Anderson, A (cabinet)"
"Anderson, Adm. George W.; Anderson, Admiral George; Anderson, Admiral George W.; Anderson, Admiral George W., Jr. (clinton)"
"Anderson, Admiral George W., Jr.; Anderson, George W.; Anderson, George W., Jr. (clinton)"
"Anderson, Amanda (clinton)"
"Anderson, Brooke (clinton)"
"Anderson, Carl (clinton)"
"Anderson, Chandler Parsons (briefing)"
"Anderson, Chandler Parsons (frus)"
"Anderson, Clinton P. (briefing)"
"Anderson, Clinton P. (clinton)"
"Anderson, Clinton P. (frus)"
"Anderson, D. L. (briefing)"
"Anderson, D. L. (cpdoc)"
"Anderson, D. L. (frus)"
"Anderson, Daniel V.; Anderson, Daniel Virden; Anderson, G. Norman; Anderson, William O. (clinton)"
"Anderson, Daniel Virden (frus)"
"Anderson, David (briefing)"
"Anderson, David (frus)"
"Anderson, David; Anderson, Robert; Anderson, Robert B. (clinton)"
"Anderson, David; Anderson, Robert; Anderson, Robert B. (kissinger)"
"Anderson, Dillon (briefing)"
"Anderson, Dillon (clinton)"
"Anderson, Dillon (frus)"
"Anderson, Donald M. (briefing)"
"Anderson, Donald M. (clinton)"
"Anderson, Donald M. (frus)"
"Anderson, Edwin M. (frus)"
"Anderson, Elizabeth (clinton)"
"Anderson, Eugenie (clinton)"
"Anderson, Frederick L. (briefing)"
"Anderson, Frederick L. (clinton)"
"Anderson, Frederick L. (frus)"
"Anderson, G. Norman (briefing)"
"Anderson, G. Norman (frus)"
"Anderson, George E. (frus)"
"Anderson, George Whelan, Jr. (briefing)"
"Anderson, George Whelan, Jr. (frus)"
"Anderson, Gerald (clinton)"
"Anderson, Glenn M. (briefing)"
"Anderson, Glenn M. (frus)"
"Anderson, Glenn; Anderson, John B.; Anderson, John Bayard (clinton)"
"Anderson, H. Eugenie (clinton)"
"Anderson, Harry L. (briefing)"
"Anderson, Harry L. (frus)"
"Anderson, Helen Eugenie (Moore) (briefing)"
"Anderson, Helen Eugenie (Moore) (frus)"
"Anderson, Howard S. (frus)"
"Anderson, J (cabinet)"
"Anderson, J. Brady (briefing)"
"Anderson, J. Brady (frus)"
"Anderson, Jack (briefing)"
"Anderson, Jack (clinton)"
"Anderson, Jack (cpdoc)"
"Anderson, Jack (frus)"
"Anderson, Jack (kissinger)"
"Anderson, James (clinton)"
"Anderson, James (kissinger)"
"Anderson, Jennifer (clinton)"
"Anderson, Jim (briefing)"
"Anderson, Jim (cpdoc)"
"Anderson, Jim (frus)"
"Anderson, John (briefing)"
"Anderson, John (cabinet)"
"Anderson, John (frus)"
"Anderson, John Alexander (briefing)"
"Anderson, John Alexander (frus)"
"Anderson, John Bayard (briefing)"
"Anderson, John Bayard (frus)"
"Anderson, Kern (clinton)"
"Anderson, L. Desaix (briefing)"
"Anderson, L. Desaix (frus)"
"Anderson, Lars (clinton)"
"Anderson, Larz (briefing)"
"Anderson, Larz (frus)"
"Anderson, Laura (clinton)"
"Anderson, Martin (briefing)"
"Anderson, Martin (frus)"
"Anderson, Mary Jane (frus)"
"Anderson, Orville C. (clinton)"
"Anderson, Orville C. (frus)"
"Anderson, Rasmus Bjorn (briefing)"
"Anderson, Rasmus Bjorn (frus)"
"Anderson, Rear Admiral George W. (clinton)"
"Anderson, Richard Clough (briefing)"
"Anderson, Richard Clough (frus)"
"Anderson, Robert (briefing)"
"Anderson, Robert (cpdoc)"
"Anderson, Robert (frus)"
"Anderson, Robert B. (briefing)"
"Anderson, Robert B. (cpdoc)"
"Anderson, Robert B. (frus)"
"Anderson, Robert O. (briefing)"
"Anderson, Robert O. (cpdoc)"
"Anderson, Robert O. (frus)"
"Anderson, Robert Orville (clinton)"
"Anderson, Robert Orville (kissinger)"
"Anderson, Roger (clinton)"
"Anderson, Samuel W. (clinton)"
"Anderson, Samuel W. (frus)"
"Anderson, Stanton Dean (frus)"
"Anderson, Thomas H., Jr. (briefing)"
"Anderson, Thomas H., Jr. (frus)"
"Anderson, Thomas Henry (briefing)"
"Anderson, Thomas Henry (frus)"
"Anderson, William O. (frus)"
"Anderton, Keith (clinton)"
"Andino, Chris (clinton)"
"Ando, Yoshiro (cpdoc)"
"Ando, Yoshiro (frus)"
"Andom, Aman Michael (briefing)"
"Andom, Aman Michael (frus)"
"Andom, General Aman Michael (clinton)"
"Andrabi, Erfana (clinton)"
Andrade Uzquiano Victor (briefing)
Andrade Uzquiano Victor (frus)
"Andrade Uzquiano Victor,; Andrade, Victor (clinton)"
"Andrade, Victor (briefing)"
"Andrade, Victor (cpdoc)"
"Andrade, Victor (frus)"
"Andre, Antonio (frus)"
"Andre, Larry (clinton)"
"Andre, Larry Edward, Jr. (briefing)"
"Andre, Larry Edward, Jr. (frus)"
"Andreadis, Stratis (George) (frus)"
"Andreani, Jacques (briefing)"
"Andreani, Jacques (clinton)"
"Andreani, Jacques (frus)"
"Andreev, Bane (briefing)"
"Andreev, Bane (frus)"
"Andrei, Stefan (briefing)"
"Andrei, Stefan (clinton)"
"Andrei, Stefan (frus)"
"Andreotti, Giulio (briefing)"
"Andreotti, Giulio (clinton)"
"Andreotti, Giulio (cpdoc)"
"Andreotti, Giulio (frus)"
"Andres Perez, Carlos (cpdoc)"
"Andrew, Robert (clinton)"
"Andrew, Robert F. (briefing)"
"Andrew, Robert F. (clinton)"
"Andrew, Robert F. (frus)"
"Andrews, Anne Slaughter (briefing)"
"Andrews, Anne Slaughter (frus)"
"Andrews, Bonnie D. (clinton)"
"Andrews, Bonnie D. (frus)"
"Andrews, Brian (clinton)"
"Andrews, Christopher Columbus (briefing)"
"Andrews, Christopher Columbus (frus)"
"Andrews, Constance (clinton)"
"Andrews, David (briefing)"
"Andrews, David (frus)"
"Andrews, George D. (clinton)"
"Andrews, George D. (frus)"
"Andrews, George Roberts (briefing)"
"Andrews, George Roberts (frus)"
"Andrews, John (clinton)"
"Andrews, John (kissinger)"
"Andrews, Nicholas G . (clinton)"
"Andrews, Nicholas G . (frus)"
"Andrews, Stanley (briefing)"
"Andrews, Stanley (frus)"
"Andrews, Stanley, (clinton)"
"Andrews, Theodore (clinton)"
"Andrews, Wallace (frus)"
"Andrews, William Whiting (briefing)"
"Andrews, William Whiting (frus)"
"Andreyev, Andrey Andreyevich (briefing)"
"Andreyev, Andrey Andreyevich (clinton)"
"Andreyev, Andrey Andreyevich (frus)"
"Andris, Matthew (clinton)"
"Andronikoff, Constantin (clinton)"
"Andronikov, Constantin (briefing)"
"Andronikov, Constantin (clinton)"
"Andronikov, Constantin (frus)"
"Andropov, Yuriy Vladimirovich (briefing)"
"Andropov, Yuriy Vladimirovich (frus)"
"Andropov, Yuriy Vladimirovich; Andropov, Yury (clinton)"
"Androutsopoulos, Adamantios (briefing)"
"Androutsopoulos, Adamantios (clinton)"
"Androutsopoulos, Adamantios (frus)"
"Androutsopoulos, Adamantios (kissinger)"
"Andrus, Cecil D. (briefing)"
"Andrus, Cecil D. (clinton)"
"Andrus, Cecil D. (frus)"
"Aneizi (al-Unayzi), Ali (briefing)"
"Aneizi (al-Unayzi), Ali (frus)"
"Aneizi (al-Unayzi), Dr. Ali (clinton)"
"Angarola, Robert T. (clinton)"
"Angarola, Robert T. (frus)"
"Angel Carcano, Miguel (cpdoc)"
"Angel De La Campa Y Caraveda, Miguel (clinton)"
"Angel, Benjamin Franklin (briefing)"
"Angel, Benjamin Franklin (frus)"
"Angelides, Angelos (clinton)"
"Angelides, Angelos (frus)"
"Angelis, Gen. Odysseus; Angelis, Odysseus (clinton)"
"Angelis, Odysseas (briefing)"
"Angelis, Odysseas (frus)"
"Angell, James Burrill (briefing)"
"Angell, James Burrill (frus)"
"Angell, James W. (frus)"
"Angelo, H. G. (cpdoc)"
"Angelo, H. G. (frus)"
Anghelis (clinton)
"Angleton, James J. (briefing)"
"Angleton, James J. (frus)"
"Anheier, Harry D. (frus)"
"Ankrah, Joseph A. (briefing)"
"Ankrah, Joseph A. (frus)"
"Ankrah, Joseph Arthur (briefing)"
"Ankrah, Joseph Arthur (frus)"
"Ankrah, Lieutenant General Joseph A. (clinton)"
"Annenberg, Leonore (briefing)"
"Annenberg, Leonore (frus)"
"Annenberg, Walter H. (briefing)"
"Annenberg, Walter H. (frus)"
"Annenberg, Walter; Annenberg, Walter H. (clinton)"
"Annenberg, Walter; Annenberg, Walter H. (kissinger)"
"Ansari (also Ansary), Hushang (clinton)"
Ansari (cabinet)
"Ansari, M (cabinet)"
"Ansari, Masud (clinton)"
"Ansari, Masud (frus)"
"Ansary, Hushang (briefing)"
"Ansary, Hushang (clinton)"
"Ansary, Hushang (cpdoc)"
"Ansary, Hushang (frus)"
"Anschuetz, Norbert L. (frus)"
"Anschuetz, Norbert; Anschuetz, Norbert L. (clinton)"
"Ansip, Andrus (briefing)"
"Ansip, Andrus (frus)"
"Anslinger, Harvey J. (briefing)"
"Anslinger, Harvey J. (clinton)"
"Anslinger, Harvey J. (frus)"
"Anspacher, John M. (clinton)"
"Anspacher, John M. (frus)"
"Anspacher, John N. (clinton)"
"Antall, Jozsef (briefing)"
"Antall, Jozsef (frus)"
"Anthis, Brig. Gen. Roland H.; Anthis, Brig. Gen. Roland H. (USAF); Anthis, Brigadier General Roland H.; Anthis, Brigadier General Rollen H. (clinton)"
"Anthis, Colonel Rollen H. (clinton)"
"Anthis, Rollen H. (briefing)"
"Anthis, Rollen H. (frus)"
"Anthony, Kenny Davis (briefing)"
"Anthony, Kenny Davis (frus)"
"Antier, Paul (briefing)"
"Antier, Paul (clinton)"
"Antier, Paul (frus)"
"Antippas, Andrew F. (frus)"
"Antonakos, Georgios (frus)"
"Antonakos, Vice Marshal Georgios (clinton)"
"Antonelli, Michael A. (frus)"
"Antonescu, Ion (briefing)"
"Antonescu, Ion (frus)"
"Antonescu, Mihai (briefing)"
"Antonescu, Mihai (frus)"
"Antonio Tack, Juan (cpdoc)"
"Antonov, Alexey Innokentyevich (briefing)"
"Antonov, Alexey Innokentyevich (frus)"
"Antonov, Sergei (briefing)"
"Antonov, Sergei (clinton)"
"Antonov, Sergei (frus)"
"Antunes, Ernesto de Melo (briefing)"
"Antunes, Ernesto de Melo (clinton)"
"Antunes, Ernesto de Melo (frus)"
"Apel, Hans (briefing)"
"Apel, Hans (clinton)"
"Apel, Hans (cpdoc)"
"Apel, Hans (frus)"
"Aponte, Mari (clinton)"
"Aponte, Mari Del Carmen (briefing)"
"Aponte, Mari Del Carmen (frus)"
"Apostolakis, Christos (frus)"
"Appelbaum, Henry R. (frus)"
"Appelbaum, Henry; Appelbaum, Henry R. (clinton)"
"Appelt, Rudolf (briefing)"
"Appelt, Rudolf (frus)"
"Appleby, Lindsay (clinton)"
"Appleby, Paul H. (briefing)"
"Appleby, Paul H. (clinton)"
"Appleby, Paul H. (frus)"
"Appleton, John (briefing)"
"Appleton, John (frus)"
"Appleton, John James (briefing)"
"Appleton, John James (frus)"
"Appleton, Richard (clinton)"
"Appling, Hugh G. (clinton)"
"Appling, Hugh G. (frus)"
"Aptidon, Hassan Gouled (briefing)"
"Aptidon, Hassan Gouled (frus)"
"Aquino, Benigno, 3rd (briefing)"
"Aquino, Benigno, 3rd (frus)"
"Aquino, Benigo S., Jr. (briefing)"
